name,phone,interest,city,source,consent,status
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiREFVX3lxTE52RDNibDFKN003aXJMd1hjUDZ0MVNzMFktaExqUjhHbHBQZEVlS29Tck1SMWgtMlJTelVaekJXYkJTT1hS?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiswRBVV95cUxQRk83bUFacGQ2QjdEWEV1SVBXTW5kd1ZiNlJIUW44b1V4X0syU3doYm1INF9DeHZqbHg0NmpFMlBwbWZoaXhNVi05OFZBRG5wVXNTLVZnUHd3S1ZMUWFNa2NGa25zQVJQSnVtWmlOY3hZZmRqRmZoSE5veU81Z0hlZ0UwN25TZFJSdDhlclU1OGhwNWdfMk5HTXJya0V6ZEpqMkxBaldFMmcyMk5kVXpubjNXakVESEIyM01peFNISHBDSm1BS0RUZWNCaXVpRU1qbVV1aWtlRUdNUVMtbXhtaVZ0YzZEdlJ5MUpCY1A2dERfTS1ka2dwNS0weVhqZFBmdnB3R291MFhFcFZRUEV4QkFZb1FhS1VoRWIxY0xDdmdIbEFhMS1BM0M5aGU5UjBXcUt3emhsWmx3cWZuNVZtcHdqR3FWN1pCbHYtTFByY1FCWnc2Ny1QZi1JN3RvR0xEbGVSanZxOVZwTmNVcUR4cWo4MDMwLXlYNmFITDR1UHVOUWYxbEpSbWFkTHBUdVBXNzBZbEZfVW42c1dfTXJ6NHpkTzB4OFFVbkkzYm1JSUNpeUd4OHVNMjcxOGpYazRvakZjdzFFRTVLSkZ0MVd4eGJIWjVvZXpDaFdGaGpkUXhzcXhfQ2hxeDVNclIwdTRDRFFWNEg5MUdwbkpYWEVhSkdEZmdIcHhFMUcwa05qWmg3Q0pXNXF4MHFYSHdXWnhtX0JibEpNcHpTd3dzNC1fbjYwd9IBU0FVX3lxTE1vcEdHOTI2bHluUi1GcENuUXk4dUplbHpBaGw0Wnl5aHRqclM1ZVk0UHhpM2VEV3NkekViWjlISUpNR212S1lKWHhoa1ZkQnhSbVhJ?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMioARBVV95cUxPM3R2eXpYSUZSOFZRN3o3djI4aEhIWWxXSUFzczdLT2t1UWNSZVNMRDgwV0ViUTR6aXp2cEpjUkRLLWJpUlBscjhNQS1zU2NRVzcyTkZKd1UxM1JZX1RKTkR0NG8wS19Cd3BxeFhXRVhJVm9ocXZKa2xtZ2VxV3FUQ3FsTXpCcEU4eVVmXzluT3RLOUdwVzV2WE01d1BsRmFVdTFVUDhDQzdZYlYzNUx1SnFnbzZrX2NuWEp0YmVHTTFtNGhpT1FqUGctM044M09PemJsTnlxY21Bbjh6Z3ktZnNTYVpyRko4WVVFWlJTNDRRTVFsVkg0TFlLb01jV3JZYm1lMTFDZTk4YUFBaFZ1bzJ4c3NVbm5CMGt4eTdYSWw4clFNaXdWWTFiU3p6ck5xY0xGNzdEVmJicERQWkUwQ2VMWHkwUldkd0hRcHppY2ZuTWZwZXcwQUdSUzUxTEVVZHM2MWl1ZnJGVzdCRXFBUzJGSUdvSXlEelNnMDRDMWh1VjN3N1doQ2lCb1FlM0JIaEFHSnVabWs1Q3RfcDVuVHVEam9DMnBYZkZWYWFxaVYtd2w3MzB6Q3EwcmdzcW5qOFBIQUVxVVliSjFSV1AxT2ItV1ZsSWl2NWhLVFJwcDNGY00xVjFTNmdlVmtWOXRPWjV4aUFqSkFxWVA1Z2R6RmFqdTZ2YWx3QjZfd2pkWGhucGZ5YjVpYXljUWdtel840gFWQVVfeXFMUEJxTkN3Qk9ZYk45eWM5Y3FQaGRneUZXUDRySFcyWEx3U2liZHVNZUowZlZzWW4tU2ZDY0NwZmF5UHVTU1lIOEpQSElyY2RJZDhlOW5lN2c?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9ud1h0clF1RHVtcXJRQlpQdUpLbmtxMGNiVjd5X3BRYW1JUTlLMjJyNGtlNWMzUkhralBwbUJzRnluZjBLdlE?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMi2gRBVV95cUxNc090RUNYQ2RMY1o3VUd6Rkk1MENMeWV5dzZLMkJMNDFjYm9oaFBYaGFsR3Ywb2dZbWpnbjVYSEQ5VGk4V0h5VU4ySDViMWhBUGF6aURnS2JmeWhqYS0tS2lKdzZKcVgtV0ZoUE1CdWM2TnJxRlI1R3RLOVVzTnFKNy1YcWhVdVlEamV1bExDa1V5QUowcl9mY0NVMVZwenh0ZUQ1S1drZkY1dHhMTV9ab1lDQ1JfTWhsMFdzRnd6eVdjcUtRWVNIWHdjaVByWkVVX09OUU1OOEJrYzRaSE5LWkVHZlpRM2tBdHpXZGYwT3plQ21xVVBlaE85ZjlhRDNUT29xZTBGUzBhWlhaZU9jQzhiTlJ3aTRzTG9URmFfYXdFY1d3cW5MY0MxY2UzZUNGbFNCcVA3Z0wzb3pVc0o3dW5BMHZKaHFkel9HdVpoY2NIZXpDcERFd1lDVWVHY2lSUVoxT2h5bGRuc3BLUHBVbURreEZsOEY3VG56U0tqYXJlQktvXzRVeUhFdWZma18tSmNHYVBmN0wtSEx5LTYxVzFGMXh1c3diTU5OSTZhNERXX2hfYThlQktOQVNIV2NGYXNveS1ubkE2cDFBUFpnR0pvZDR0OEtFZWpiYjFSV2I1U3AyMFlvemo0a1pHN21ieGROVFdXYnJ5Wl9XY29UU3ltTlJKRHdQODROUE9CUm81Z0dUYUtGQTZxRTMwUXlZR21jR09wY3NYWk40TEwxR09oRmhBZEh3bUJmQzhtbnR4bzFkdVhNYWhiSXlDV0pTbVVtbDJMbGRpUdIBVkFVX3lxTE50T3NPcmVEb3VCcG1LN1R4a0djNHEzb3pmUGRnTlVkcEx6elN5T0ttZXhfbktiUTZzZXBaRTktNXp2ZHkwWDhUMVhLbG5hLUdfbzBFNFB3?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiQEFVX3lxTE1rSmduTm5iUXZ4eGZycVI1T0NHRWtTWjBhN2VaRkdmWGhvZmFXUUo1bTZWV1dpcXlkc1JKSGRrb0c?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMizANBVV95cUxNUlpoeVlKU21pdVNFc1o2X0ZMMC1QWXU4NVN6QTRGUnlqTmpVcUpvVDcwLUx0cVU5S2NCTlFLU3phdloyWkNvTXhHQzBlbG5Bckk0QlpVUmNDWk5uWHdsU2VvXzRjaWpWSV9PY19scm05eC1LUWtmVXFLLUlSMDFrZ1AzS3FYZTB6OXFhV21rdkhzQWJyc1FNbWl5MDlDcVJlSTVHVjNwYlNpT3hQTGVRa2h4NUZsNy1mVlcybWFoS196aW85aFJEeEYzSzFVOFRrbFFpWWk0b1J4MzNvbUJRMTkwTUI4VDhYMkNUaWd0aVNtdTJPLVlJNG10N2JSWXc5ejJjb2s0X1B0NUJsRjlQOHd3WWw2MVQ4dkpENEFTQ29qNFhFRFlkSnllZ1pyOE1xMlJwMjQwOE5oSGRJWUhoUERpN05NbFBHdGxYRzFiVi1MSzhUVVFSQ3lzYmRFV1U1ekgySzRBdVNfVDU3YzducjNiVGVnMU44OVRmcGxteWhhZnA2RVE4RVJ4V3VTRVFrV0xYTU1HaTVXcE1pR0dCTFdvTDlVRkVUblMwQXkwdWpPZUxnZjJoaU1JTDNOQnBpamtyRHVTM3ExMEdX0gFWQVVfeXFMUExrRkJEajZ6UU9hc2RUcnVZS2ZwZThLV0VTTldTcFd5emtBdzVib3g2NHMwcmh2ZlFPdXZDSGgteWR4VDFyaWZyV1hRTjFpcTBVNmZmSXc?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiREFVX3lxTE5GYjdlRXBLUGhDS2xIQlVZVEx0aHVYd2ZrLUFsRm5BQ2Z5bkMtX1docWIxN1EyTGJLV0NWazdzMnFhcm1v?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMimwVBVV95cUxNZ3VtMUFqYTBsVHNFZE9od1dqTVU4Qk5NdU45RnlRbjBFdk02M1hLeGFjUGN6V1lOTE01YjlQanhoV21WTHR0SmVVZVpHQmw2RFFGSHYxR1otWG9XOWU4R1hYdEpIOGV0S01vUHBFMGJPMGgtR1JnYTB5bWdZZUNka3dDRzNQNVU2VFRKU0g2UnRQRjBUSndQVDJYeFQwUEVqYzhfMTduLTlHVWNYQkRuZUJSRURxVk5vSjBTRTRONDVKeGNFaWJOTjgyR1p2eUlEM1phNFpJS01XWTFLODhxazBLSnNjUS13MDdUajk3QmpZWG0tUVNPcWR2Z0hTUElzVW5nTGxBZkN0bE0wSVNrSlZDemFsOUR2QVJnaEtfWEU4dU1xNnZ0Rmw2LWkxQThEclhiWG5lQ2pNY25oTHZhUHNOYnVQdjFjWWtpT1VHYkx4eER2V2tNajJoVklOOHBxLUpmbWw5YWE1SVM1d1FEbjZPUE9BTjhBcWE5MlVSMUdVVzB6VmRULVYzd3FDY3B1TXRVdEdMbWFXZ2VaZmc1ZkdYRndfa2E1X3ZkdUVMbFotYUMyRmRYOHQzekg0bWVIMzZmWklDZEc0RXI0ZTNaN3lSUkNhT25jS2VwZUEzU0llQTN4MENoTWpLMDBadDNsMWtwZDdTaktneS03VEw4N1V2aFRYalBEdjdEVS04MGVIQU1TR2FWNUF1MDNRajl2Rko1WDhNanh1WkQ3cFJUV2lmQ1BUMHViZjRLeFVWQWZwVmk3TW9FamtQeGp0Q2xqanBmR0lzY05CWnNKQjVlclVfWXpWcjZFNWkxdVRmcUF1QTZxWXA2Y1g2UnU3RXk4VTJMLUxiMjdvVXowRDdTb2lILTdoVzZXLWdJ?oc=5,no,discovered
,,مواشي المدينة المنورة,المدينة المنورة,https://news.google.com/rss/articles/CBMiqARBVV95cUxNcGQ0clVXOWhMWk1LTE4yTFZWcTl3ekVYdDU0UzR1SGpmWmxiVlFCNG5rd24ydC1abTNHLUxOUFBRT0QxQXBEN2dia01qMFVydnhaQld4WjZ5cGdCSk9uTW1uYVZzbUkzSFNIMHVTa2ZGTzJBLWdaQll0YjFvdUVVckdMOWtaVXdZWmE4NTdpSGRCZmZyS0NDNjhueElaZjFLbjZtY0ljOVhDc0VET29uVzN2VktiZG1Vcm5rdmo0blR0SU4zQ0RkVVhmSjhaeDZNVXRieElpVmVoU2xzcGxNZDNEa1BjTTVaRDN2MzhkeFZhRFgxTUU0NkpBUUFJUEowa2JUeHVNMjEyRm9uNlVrc1Z6MTlyUXEyTGxWY3k5LVBUeVljNi1TWC1SY044clgwdTktWl82aUt3b09hbzZvYUdfbnNrcjJmMy13VUUxMUFFMjh2WjJNRHBVRXNDTmJmSTlqUkd4dmowWjVnYzBoakRNN2pILTNtZllOcVRqZTdfWmh2LWE3bGhncHlEaVZ3cnVrLWVLZm5ZWXN2OWxUendpRDloUUUzVTNHdFRobTFZQUgzQTd3aGZnZmNiUEJTVlhrSmJPbEQ1T2tyYmVHYzktUHNJeEUxd1lvZXhDb0tpeG95OC1LWGNTajkxM1JZVmJCeW1iS0w5djV1OWlfdklFTHk1c2JzSFphamVMRk0yN0FfMWJVMjYzVktmYmFobDEtZjNqcVfSAVZBVV95cUxNU3c3THdhcVhHSXMwNjZWNEp2bGptN3JaSU54MnlKQ3drNmNEM1pER0RBdjBOaHBJUF83NVMxa3FVb1hJRXFRT3FsandMX2Rud3dETVlUUQ?oc=5,no,discovered
